Megyék	Alma	Körte	Cseresznye	Meggy	Szilva	Kajszi	Õszibarack
Pest	25066	659	1026	3951	4470	4212	8748
Fejér	4932	706	857	2208	2245	2335	5350
Komárom-Esztergom	1345	87	152	190	453	560	536
Veszprém	6060	310	441	3198	289	367	278
Gyõr-Moson-Sopron	7024	1077	574	1146	1805	745	308
Vas	8700	502	85	288	348	22	5
Zala	31479	5500	123	70	382	22	101
Baranya	1822	174	134	1148	1082	336	1510
Somogy	9438	853	430	1756	928	1114	3220
Tolna	2832	420	489	555	522	1659	2061
Borsod-Abaúj-Zemplén	28105	2510	312	1864	4658	11059	549
Heves	6290	479	359	2644	1310	1601	1902
Nógrád	2800	245	130	400	580	120	69
Hajdú-Bihar	25400	750	187	2434	2684	349	796
Jász-Nagykun-Szolnok	116	376	451	1020	1276	158	214
Szabolcs-Szatmár-Bereg	286000	1100	340	16870	11000	155	1215
Bács-Kiskun	50174	1970	332	6314	4365	5100	2343
Békés	1106	356	420	676	5110	20	140
Csongrád	4516	226	86	1400	1539	411	1582
